Sentences,Emoji sequence,
Look! There's a Folk concert tomorrow evening.,🎤🎶🌆,
Do you like cooking?,🧑🏽‍🍳❤️❓,🧑‍🍳
Will you help me water the flowers?,💧🌷❓,
I cleaned the house and played tennis.,🧹🏠🎾,
I'm glad it didn't rain.,☔🙅😀,
Those burgers smell great.,🍔👃🏽👌🏽,👃👌
I’m going to the hospital.,🏥🚶‍♀️,🚶
I'm really sick of waiting for a bus.,😩⌚🚌,
I feel absolutely horrible.,🤒😷,
How are you doing this morning?,😊👌🏽🌄❓,
I like to go to the movies.,🎦🍿❤️,
Here’s your hot dog and beer.,🌭🍺,
I like playing the piano.,🎹❤️,
Did you make this cake?,🧑🏽‍🍳🎂❓,
I like to read.,📖❤️,
I'm going to graduate this summer .,🧑‍🎓☀️,
How about a party at home?,🎉🏠❓,
The mosquitos are biting me!,🦟😞,
Stop running around.,🚫🏃‍♀️,🏃
I look pale today. I think I've caught a cold.,😷🤧,
What are you reading about in the newspaper?,📰👓❓,
Want to go shopping tonight? ,🛒🌃❓,
I love going for bike rides and walks.,❤️🚲🚶‍♀️,
How do you like my new car?,🚗👌🏽❓,
Thankful for the gift.,🎁😇,
"I've been starving, so ready to eat now.",😋🍽️,
I have the best friends in the world.,🥰👭,
I'm sorry to hear that.,😔,
Happy Birthday! Can't wait for the party tomorrow.,🥳🎂🤩🎉,
I have to drive to school for a meeting this morning.,🚗🏫🤝,
Goodnight everyone!,😴🌃,
Merry Christmas from us!,🎅🎄,
It's a boy! Can't wait to meet baby Chase.,👶👦🤩,
You know you make my world light up.,❤️🌎✨,
All you need is love and a dog.,😇❤️🐶,
Birthday kisses for you.,🥳🎂😘,
I need to get my hair done.,💇,
Had an amazing upper body workout with my partner in crime.,💪🏋️‍♂️👌🏽👬,
1st place feels so great!,🥇🥰,
Hey Smiley face.,🙋‍♀️😊,
Today's sunset looks perfect.,🌇❤️👌🏽,
About how long will it take me to get there?,⌚🏃‍♂️❓,
It's getting cold here.,🥶❄,
A shot of me from sometime in fall.,📸🍁,
This restaurant has good food.,🏨🍽️👍,
Freezing on a beach walk is always fun.,🥶🏖🚶‍♀️👌,
"Hi, I missed you.",🙋‍♂️😍,
Are you a fan of football by any chance?,⚽❤️❓,
Nice chatting with you!,🤳🤝,
"Hi, how are you?",🙋‍♀️👌❓,
What cartoons do you like?,📺❤️❓,
That's a difficult question,❓🤔,
I don't feel well,😓🤒,
When will you be back?,🏠🚶❓,
I love travelling,❤️🧳,
Did you eat?,🍽️❓,
The food was spicy.,🍽️🥵,
Congratulations on your graduation,🧑‍🎓🥳🎉,
Can't sleep,👎😴,
I'm going to the museum,🚶🖼️,
Going to the dentist later.,🚶‍♀️🦷👩‍⚕️,
Ordering food tonight.,📱🍽️,
So tired. Didn't sleep well last night.,😫👎😴🌃,
"I can't wait, going to see movie tonight!",😩🎥🍿,
still hungry after eating....,😩🍽️😋,
I am listening to music,🎶🎧,
Do you want to come to my house?,🏠🚶❓,
Really? That's awful to hear!,😟😞,
Get well soon.,🤧💐❤️,
My prayers are always with you,🙏🤲,
I have a terrible headache.,😖🤕,
I need to buy some flowers for my partner.,💐🧑‍🤝‍🧑,
I really need to start eating healthier.,🍽🥗,
Have you ever gotten a parking ticket?,🚗🎫❓,
Last night was fun.,🌃🤩,
I'm so tired I need a head massage.,😮‍💨💆,
I like watching TV.,📺🥰,
I went to see the Statue of Liberty last summer.,👀🗽☀️,
I love the new pants that I bought.,😍👖,
I'm going to be late for school.,😓🕔🏫,
I saw a peacock at the zoo.,😍🦚,
That pizza looks disgusting.,🍕🤢,
I'm scared of clowns.,😨🤡,
The vampire movie I watched was amazing.,🧛🏽🎥👌🏽,
Do you want to go to the art gallery?,🎨🖼️❓,
I'm excited for today's cricket match.,🤩🏏,
I'm dressing up as fairy for the halloween party.,🧚‍♀️🎃🎉,
That rollercoaster ride made me puke.,🎢🤮,
Do you want to fly kites together?,🪁👭❓,
I'm flying to see the Tokyo tower.,✈🗼,
"It's too hot, do you want to go swimming?",🥵🏊‍♀️❓,
I'm going on a cruise.,🚶🏽🛳️,
I'm going camping with my family.,🏕👨‍👩‍👧‍👦,
The door is locked.,🚪🔒,
There's a good hiking spot I know.,🗺️📍🧗,
Shall we go bowling?,👭🎳❓,
Congratulations on getting engaged!,🥳💍💑,
I love skateboaring.,🛹❤️,
I won a gold medal in karate.,🥇🥋,
I need to go grocery shopping for some broccoli.,🥦🛒,
I'm feeling excited and nervous about starting my new job next week., 😬😁💼,
I just finished reading an amazing book that I would highly recommend., 📖👍🏼💯,
I'm going on vacation next week to the beach.,✈️🏖️😎,
I'm feeling a bit under the weather today and I could use some rest.,🤒😴🛌,
I just finished cooking a delicious meal for my family.,👩‍🍳😋🍽️👨‍👩‍👧‍👦,
I'm feeling stressed and overwhelmed with work. ,😩💼📉💻,
I just can't resist indulging in some junk food.,🤤🍕🍔🍟,
I love to play the piano whenever I can.,❤️🎹,
I'm feeling frustrated with the traffic on my commute to work.,🚗🚦😠🕰️,
I'm feeling grateful for my health and well-being.,🙏🧘‍♀️🍎,
I think I need a cup of coffee to wake me up.,🥱😴☕️👀,
I'm craving some delicious pizza for dinner tonight.,🍕🤤🍴🌃,
I'm so happy for you. Congratulations!,🤗❤️👏,
Let's celebrate! It's time to party and have some fun.,🍾🎉🥳,
"I'm sorry, but I can't make it to the party tonight.",🙁🎉❌,
I can't wait to try out the new sushi restaurant in town.,🍣🍚🥢😋,
"This new book is so intriguing, I can't wait to see how it ends.",📖🤔👀,
I'm so grateful for my supportive and loving partner.,❤️💑,
I just finished a great yoga class and feel so relaxed.,🧘‍♀️😌,
I'm feeling a little homesick today.,😢🏡💔,
"I'm feeling so productive today, I'm getting everything done!",📈💻🙌,
That was such a fun and memorable road trip!,🚗🛣️🥰,
I can't wait to see my best friend tomorrow!,🤗❤️👭,
I'm feeling nostalgic about my childhood memories.,🤔👶🏻👧🏻👦🏻🌅,
I'm so proud of my son for winning the spelling bee competition., 👨‍👦🏆🔠👏,
I love spending time outdoors and going for a hike.,🏞️🚶‍♀️🌳🥾,
I'm feeling frustrated with the traffic on my commute to work.,🚗🚦😠🕰️,
I'm feeling anxious about my upcoming job interview.,😬💼👔,
I'm feeling disappointed with the outcome of the basketball game. ,😞🏀🏆👎,
"That movie was hilarious, I laughed the whole time.",🎬🤣,
I'm feeling overwhelmed with work right now.,😫💼📉,
I can't believe I got lost in the city again...,🤦‍♀️🗺️🏙️😩,
I just got a promotion at work!,🎉💼👍,
This recipe turned out amazing!,👨‍🍳🍽️😋👌,
I can't wait to travel the world someday,🌎✈️🗺️,
I'm feeling a little anxious about the upcoming exam.,😬📝,
I'm really enjoying this new TV show I started watching.,📺🤩,
I finally found my keys.,🔑🔍🙌,
I'm feeling really inspired by this motivational speech.,🎤🙌💪,
This new outfit is so comfortable and stylish!,👗👌😎,
That was such a fun party last night!,🎉💃🌃,
"I'm so grateful for my amazing pets, they bring so much joy to my life.",🐶🐱❤️,
This new technology is so fascinating.,💻😲🧠,
I'm really enjoying this new podcast I started listening to.,😍🎙️🎧,
"That movie was so sad, it had me in tears.",😢🎬😭,
I'm feeling so relaxed after a day at the spa.,🧖‍♀️💆‍♀️🌟,
"This new video game is so immersive, I can't put it down!",🎮🤩,
"This new book is so inspiring, it's giving me so many new ideas!",📚💡🤩,
I'm so excited to start planning my next adventure!,🌍🧭🤩,
I'm feeling so motivated and driven to achieve my goals.,🚀🏆💪,
That was such a fun and exciting basketball match!,🏀🔥,
Taking a liesure stroll through the park is so relaxing.,🚶‍♀️🌳🍃 ,
I've been really enjoying painting!,🎨👩‍🎨🖌️,
I can't wait to catch some waves and soak up the sun.,🌊🏄‍♂️🌴,
I'm trying to clean and organize my space regularly.,🏡🧹🧺,
This new skill I'm learning is so practical and useful! ,🤓🎓💼,
Sending positive vibes and good energy your way.,🙏🕊️💗,
I started journaling lately to organize my thoughts.,🤔💭📝,
That play was so moving and emotional.,🎭😢,
"That volunteer experience was so fulfilling and rewarding, I can't wait to do more! ",🙏💕,
The museum has such incredible exhbits.,🖼️🎨👌,
I'm so excited to start a new chapter in my life!,📖🤩,
This new project I'm working on is so exciting and fulfilling!,💻📈🤩,
I'm feeling a little nervous about this big presentation I have to give,😬🎤💼,
"I'm feeling a little bored and restless, I need to find something fun to do!
",🥱🥳🤔,
"That DIY project was so fun and rewarding, I created something amazing with my own hands! ",🛠️✂️💡,
I'm sorry to hear that you're going through a rough time.,😔❤️🤗,
Did you catch the football game last night?,⚽️📺❓,
I'm really enjoying this book so far.,📖🤩👍🏽,
I can't wait to see you again soon!,😍💕👋,
Let's grab some coffee later.,☕👥,
That's awesome new! Congratulations.,🎉👏,
What do you think about the article I just read?,📃🤔💭❓,
Let's schedule a video call for next week.,📅👥💻,
This new game is so addicting!,🎮🕹️😍,
Can you recommend any good books or TV shows to watch?,📚📺🤔❓,
I'm so happy to have you as my friend!,🤗💕👯‍♀️,
"Sorry, I'm running late!",🏃‍♀️⏰🙏,
I can't believe how hot it is outside today!,☀️🥵😫,
Did you hear about the new store that just opened up?,🆕🏪❓,
Any suggestions for a new hobby?,🎵🎨🤔❓,
I'm so glad we finally got to catch up!,🤝💬👥,
I'm sorry if I came across as rude earlier.,😔🙇‍♀️,
I'm really looking forward to our vacation next month.,🧳🤩,
This weather is perfect for a watermelon!,☀️🍉,
I can't believe it's Autumn already!,😮🍂,
This song always puts me in a good mood.,🎶😊👍,
I don't get paid enough for my work.,😞💰👎,
I can't wait to see my family for the holidays!,🎄👨‍👨‍👧‍👦🎁,
My flight got delayed and now I'm stuck at the airport.,🛬⌚👎😫,
Just got back from a fun day at the amusement park!,🤩🎡🎢🎠,
I'm struggling to study for my exams.,😩📚👎,
I cant believe I finished writing my book!,📖✒️🎉,
Can you send me the recipe for that delicious dish you made?,📩🍲👩‍🍳❓,
Good luck on your exam tomorrow!,🍀📚👍,
My muscles are sore from yesterday's workout.,😫💪🏋️‍♂️,
Can you believehow fast this year is going by?,📆🤯,
"I'm going on a road trip with my best friends, so pumped!",🚗👥🤩,
Any tips on making new friends?,👭🤔❓,
I'm going to a costume party and I still don't know what to wear.,🎭👻👗🤔,